bonus_value_id	effect_key	battle_context_key
armour_mod	wh2_dlc11_effect_force_unit_stat_armour_versus_greenskins	fighting_culture_greenskins
melee_damage_ap_mod_mult	wh2_dlc11_effect_force_unit_stat_missile_damage_gunnery_mobs_promethean_gun_mobs_deck_droppers_v_beastmen	fighting_culture_beastmen
melee_damage_mod_mult	wh2_dlc11_effect_force_unit_stat_missile_damage_gunnery_mobs_promethean_gun_mobs_deck_droppers_v_beastmen	fighting_culture_beastmen
missile_damage_ap_mod_mult	wh2_dlc11_effect_force_unit_stat_missile_damage_gunnery_mobs_promethean_gun_mobs_deck_droppers_v_dwarfs	fighting_culture_dwarfs
missile_damage_mod_mult	wh2_dlc11_effect_force_unit_stat_missile_damage_gunnery_mobs_promethean_gun_mobs_deck_droppers_v_dwarfs	fighting_culture_dwarfs
melee_damage_ap_mod_mult	wh2_dlc11_effect_force_unit_stat_missile_damage_gunnery_mobs_promethean_gun_mobs_deck_droppers_v_high_elves	fighting_culture_highelf
melee_damage_mod_mult	wh2_dlc11_effect_force_unit_stat_missile_damage_gunnery_mobs_promethean_gun_mobs_deck_droppers_v_high_elves	fighting_culture_highelf
missile_damage_mod_mult	wh2_dlc11_effect_force_unit_stat_missile_damage_gunnery_mobs_promethean_gun_mobs_deck_droppers_v_high_elves	fighting_culture_highelf
missile_damage_mod_mult	wh2_dlc11_effect_force_unit_stat_missile_damage_versus_empire	fighting_culture_empire
unit_damage_resistance_missile_mod	wh2_dlc11_effect_force_unit_stat_missile_resistance_versus_high_elves	fighting_culture_highelf
morale	wh2_dlc11_effect_force_unit_stat_morale_versus_greenskins_skaven	fighting_culture_greenskins_skaven
general_aoe_mod	wh2_dlc11_effect_general_aura_mod_fighting_beastmen	fighting_culture_beastmen
damage_vs_large_entities	wh2_dlc11_effect_tech_stat_mod_bonus_v_large_deckhands_prometheans_depth_guard_v_bret	fighting_culture_bretonnia
damage_vs_large_entities	wh2_dlc11_effect_tech_stat_mod_bonus_v_large_deckhands_prometheans_depth_guard_v_chaos	fighting_culture_chaos
damage_vs_infantry	wh2_dlc11_effect_tech_stat_mod_bonus_v_small_fighting_tomb_kings	fighting_culture_tomb_kings
xp_gain_rate_mod	wh2_dlc11_effect_tech_xp_gain_increase_vampire_coast	fighting_culture_vampire_coast
melee_attack_mod	wh2_dlc12_effect_force_battle_unit_melee_defence_attacking	fighting_force_status_yours_attacking
melee_attack_mod	wh2_dlc12_effect_force_unit_stat_melee_attack_foreign_territory	fighting_territory_enemy_or_neutral_or_allied_army
melee_damage_ap_mod_mult	wh2_dlc12_effect_force_unit_stat_mod_melee_damage_versus_skaven_chaos	fight_culture_beastmen_chaos_norsca_skaven
melee_damage_mod_mult	wh2_dlc12_effect_force_unit_stat_mod_melee_damage_versus_skaven_chaos	fight_culture_beastmen_chaos_norsca_skaven
morale	wh2_dlc12_prophecy_of_sotek_stage_3_3	fighting_culture_skaven
melee_attack_mod	wh2_dlc13_effect_melee_attack_versus_vmp_cst_tmb	fighting_culture_undead
melee_damage_ap_mod_mult	wh2_dlc13_effect_melee_damage_versus_nor_chs_bst	fighting_culture_beastmen_chaos_norsca
melee_damage_mod_mult	wh2_dlc13_effect_melee_damage_versus_nor_chs_bst	fighting_culture_beastmen_chaos_norsca
melee_defence_mod	wh2_dlc13_effect_melee_defence_versus_grn_skv_lzd	fighting_culture_greenskin_skaven_lizardman
melee_defence_mod	wh2_dlc13_effect_melee_defence_versus_vmp_cst_tmb	fighting_culture_undead
unit_damage_resistance_missile_mod	wh2_dlc13_effect_missile_resistance_versus_def_hef_wef	fighting_culture_high_dark_wood_elves
morale	wh2_dlc13_effect_morale_versus_def_hef_wef	fighting_culture_high_dark_wood_elves
morale	wh2_dlc13_effect_morale_versus_grn_skv_lzd	fighting_culture_greenskin_skaven_lizardman
morale	wh2_dlc13_effect_morale_versus_nor_chs_bst	fighting_culture_beastmen_chaos_norsca
morale	wh2_dlc13_effect_morale_versus_vmp_cst_tmb	fighting_culture_undead
xp_gain_rate_mod	wh2_dlc13_effect_xp_gain_increase_lizardmen	fighting_culture_lizardmen
xp_gain_rate_mod	wh2_dlc13_effect_xp_gain_increase_versus_undead	fighting_culture_undead
melee_defence_mod	wh2_dlc13_lord_trait_gorrok_melee_defence	fighting_territory_own_or_allied
unit_damage_resistance_physical_mod	wh2_dlc13_lord_trait_gorrok_physical_res	fighting_force_status_theirs_besieging
unit_flaming_attack_mod	wh2_dlc14_effect_character_stat_enable_flaming_attacks_versus_undead	fighting_culture_undead
xp_gain_rate_mod	wh2_dlc14_effect_xp_gain_increase_versus_tomb_kings	fighting_culture_tomb_kings
unit_flaming_attack_mod	wh2_main_effect_character_stat_enable_flaming_attacks_versus_woodelves	fighting_culture_wood_elves
melee_attack_mod	wh2_main_effect_character_stat_melee_attack_at_sea	fighting_ground_type_sea
melee_attack_mod	wh2_main_effect_character_stat_melee_attack_versus_greenskins_skaven	fighting_culture_greenskins_skaven
melee_damage_ap_mod_mult	wh2_main_effect_character_stat_melee_damage_versus_greenskins_skaven	fighting_culture_greenskins_skaven
melee_damage_mod_mult	wh2_main_effect_character_stat_melee_damage_versus_greenskins_skaven	fighting_culture_greenskins_skaven
melee_damage_ap_mod_add	wh2_main_effect_character_stat_mod_ap_damage_versus_dwarfs	fighting_culture_dwarfs
melee_attack_mod	wh2_main_effect_character_stat_mod_melee_attack_versus_dwarfs_greenskins	fighting_culture_dwarfs_greenskins
melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_beastmen	fighting_culture_beastmen
melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_beastmen	fighting_culture_beastmen
melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_chaos_norsca	fighting_culture_chaos
melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_chaos_norsca	fighting_culture_chaos
melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_dark_elves	fighting_culture_darkelf
melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_dark_elves	fighting_culture_darkelf
melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_dwarfs_greenskins	fighting_culture_dwarfs_greenskins
melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_dwarfs_greenskins	fighting_culture_dwarfs_greenskins
melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_dwarfs	fighting_culture_dwarfs
melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_dwarfs	fighting_culture_dwarfs
melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_forces_of_destruction	fighting_culture_forces_of_destruction
melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_forces_of_destruction	fighting_culture_forces_of_destruction
melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_forces_of_order	fighting_culture_forces_of_order
melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_forces_of_order	fighting_culture_forces_of_order
melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_high_elves	fighting_culture_highelf
melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_high_elves	fighting_culture_highelf
melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_humans	fighting_culture_empire_and_bretonnia
melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_humans	fighting_culture_empire_and_bretonnia
melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_lizardmen	fighting_culture_lizardmen
melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_lizardmen	fighting_culture_lizardmen
melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_skaven	fighting_culture_skaven
melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_skaven	fighting_culture_skaven
melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_undead	fighting_culture_undead
melee_damage_ap_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_vampire_counts	fighting_culture_vampire_counts
melee_damage_mod_mult	wh2_main_effect_character_stat_mod_melee_damage_versus_vampire_counts	fighting_culture_vampire_counts
morale	wh2_main_effect_force_army_battle_unit_morale_siege_attack_bad	fighting_force_status_yours_besieging
melee_attack_mod	wh2_main_effect_force_navy_melee_attack	fighting_ground_type_sea
morale	wh2_main_effect_force_navy_morale	fighting_ground_type_sea
melee_attack_mod	wh2_main_effect_force_unit_stat_melee_attack_in_desert_terrain	fighting_ground_type_desert
melee_attack_mod	wh2_main_effect_force_unit_stat_melee_attack_versus_all_undead	fighting_culture_undead
melee_attack_mod	wh2_main_effect_force_unit_stat_melee_attack_versus_dark_elves	fighting_culture_darkelf
melee_attack_mod	wh2_main_effect_force_unit_stat_melee_attack_versus_dwarfs	fighting_culture_dwarfs
melee_attack_mod	wh2_main_effect_force_unit_stat_melee_attack_versus_empire	fighting_culture_empire_and_bretonnia
melee_attack_mod	wh2_main_effect_force_unit_stat_melee_attack_versus_skaven	fighting_culture_skaven
melee_damage_ap_mod_mult	wh2_main_effect_force_unit_stat_melee_damage_versus_greenskins	fighting_culture_lizardmen
melee_damage_mod_mult	wh2_main_effect_force_unit_stat_melee_damage_versus_greenskins	fighting_culture_lizardmen
melee_attack_mod	wh2_main_effect_force_unit_stat_morale_melee_attack_versus_high_elves	fighting_culture_highelf
melee_defence_mod	wh2_main_effect_force_unit_stat_morale_melee_defense_versus_dark_elves	fighting_culture_darkelf
morale	wh2_main_effect_force_unit_stat_morale_versus_dark_elves	fighting_culture_darkelf
morale	wh2_main_effect_force_unit_stat_morale_versus_high_elves	fighting_culture_highelf
morale	wh2_main_effect_force_unit_stat_morale_versus_lizardmen	fighting_culture_lizardmen
morale	wh2_main_effect_force_unit_stat_morale_versus_rogue_armies	fighting_culture_rogue_armies
morale	wh2_main_effect_force_unit_stat_morale_versus_skaven	fighting_culture_skaven
morale	wh2_main_effect_force_unit_stat_morale_versus_wood_elves	fighting_culture_wood_elves
morale	wh_dlc03_effect_bonus_morale_fighting_against_bretonnia	fighting_faction_bretonnia
morale	wh_dlc03_effect_bonus_morale_fighting_against_empire	fighting_faction_empire
unit_damage_resistance_all_mod	wh_dlc05_effect_bonus_damage_reduction_when_in_forest	fighting_ground_type_forest
morale	wh_dlc05_effect_bonus_leadership_when_in_forest	fighting_ground_type_forest
melee_attack_mod	wh_dlc05_effect_force_army_battle_melee_attack_during_forest	fighting_ground_type_forest
ammo_mod	wh_dlc05_effect_force_army_battle_unit_ammo_siege_defence	fighting_force_status_yours_defending
reload_mod	wh_dlc05_effect_force_army_battle_unit_reload_speed_siege_defence	fighting_force_status_yours_defending
melee_attack_mod	wh_dlc05_effect_force_melee_attack_stat_morale_versus_beastmen	fighting_culture_beastmen
missile_damage_mod_mult	wh_dlc05_effect_force_range_attack_stat_morale_versus_beastmen	fighting_culture_beastmen
reload_mod	wh_dlc05_effect_reload_time_when_in_forest	fighting_ground_type_forest
melee_damage_ap_mod_mult	wh_dlc06_effect_bonus_damage_fighting_against_chaos	fighting_culture_chaos
melee_damage_mod_mult	wh_dlc06_effect_bonus_damage_fighting_against_chaos	fighting_culture_chaos
melee_damage_ap_mod_mult	wh_dlc08_effect_bonus_ap_damage_personal_against_norsca	fighting_norscan_factions
melee_damage_mod_mult	wh_dlc08_effect_bonus_ap_damage_personal_against_norsca	fighting_norscan_factions
melee_attack_mod	wh_dlc08_effect_bonus_melee_attack_fighting_against_chaos	fighting_culture_chaos
melee_attack_mod	wh_dlc08_effect_bonus_melee_attack_fighting_against_human	fighting_culture_empire_and_bretonnia
melee_attack_mod	wh_dlc08_effect_bonus_melee_attack_fighting_against_norsca	fighting_norscan_factions
melee_attack_mod	wh_dlc08_effect_bonus_melee_attack_fighting_against_vampires	fighting_culture_vampire_counts
melee_attack_mod	wh_dlc08_effect_bonus_melee_attack_fighting_against_woodelves_character	fighting_culture_any_elves
melee_attack_mod	wh_dlc08_effect_bonus_melee_attack_fighting_against_woodelves	fighting_culture_any_elves
morale	wh_dlc08_effect_bonus_morale_fighting_against_chaos	fighting_culture_chaos
morale	wh_dlc08_effect_bonus_morale_fighting_against_human	fighting_culture_empire_and_bretonnia
morale	wh_dlc08_effect_bonus_morale_fighting_against_lizardmen	fighting_culture_lizardmen
morale	wh_dlc08_effect_bonus_morale_fighting_against_norsca	fighting_norscan_factions
morale	wh_dlc08_effect_bonus_morale_fighting_against_woodelves	fighting_culture_any_elves
unit_damage_resistance_missile_mod	wh_dlc08_effect_force_ward_save_missile_fighting_dark_elves	fighting_culture_darkelf
unit_damage_resistance_missile_mod	wh_dlc08_effect_force_ward_save_missile_fighting_tilea	fighting_faction_tilea
ammo_mod	wh_dlc08_effect_tech_ammunition_increase_versus_greenskins	fighting_culture_greenskins
unit_damage_resistance_physical_mod	wh_dlc08_effect_tech_army_battle_infantry_physical_resistance	fighting_culture_greenskins
general_aoe_mod	wh_dlc08_effect_tech_general_aura_mod_fighting_empire	fighting_culture_empire
general_aoe_mod	wh_dlc08_effect_tech_general_aura_mod_fighting_tomb_kings	fighting_culture_tomb_kings
unit_damage_resistance_magic_mod	wh_dlc08_effect_tech_magic_resistance_against_high_elves	fighting_culture_highelf
melee_damage_ap_mod_mult	wh_dlc08_effect_tech_melee_damage_increase_vs_tomb_kings	fighting_culture_tomb_kings
melee_damage_mod_mult	wh_dlc08_effect_tech_melee_damage_increase_vs_tomb_kings	fighting_culture_tomb_kings
missile_damage_mod_mult	wh_dlc08_effect_tech_range_attack_stat_morale_versus_greenskins	fighting_culture_greenskins
damage_vs_large_entities	wh_dlc08_effect_tech_stat_mod_bonus_v_large_fighting_bretonnia	fighting_culture_bretonnia
damage_vs_large_entities	wh_dlc08_effect_tech_stat_mod_bonus_v_large_fighting_lizardmen	fighting_culture_lizardmen
damage_vs_infantry	wh_dlc08_effect_tech_stat_mod_bonus_v_small_fighting_skaven	fighting_culture_skaven
melee_attack_mod	wh_dlc08_effect_tech_unit_stat_melee_attack_versus_empire	fighting_culture_empire
melee_defence_mod	wh_dlc08_effect_tech_unit_stat_melee_defence_versus_empire	fighting_culture_empire
melee_defence_mod	wh_dlc08_effect_tech_unit_stat_melee_defence_versus_vampires	fighting_culture_vampire_counts
morale	wh_dlc08_effect_tech_unit_stat_morale_versus_tilea	fighting_faction_tilea
xp_gain_rate_mod	wh_dlc08_effect_tech_xp_gain_increase_bretonnia	fighting_culture_bretonnia
xp_gain_rate_mod	wh_dlc08_effect_tech_xp_gain_increase_dark_elves	fighting_culture_darkelf
xp_gain_rate_mod	wh_dlc08_effect_tech_xp_gain_increase_high_elves	fighting_culture_highelf
xp_gain_rate_mod	wh_dlc08_effect_tech_xp_gain_increase_skaven	fighting_culture_skaven
xp_gain_rate_mod	wh_dlc08_effect_tech_xp_gain_increase_vampires	fighting_culture_vampire_counts
melee_damage_ap_mod_mult	wh_main_effect_character_stat_melee_damage_versus_greenskins	fighting_culture_greenskins
melee_damage_mod_mult	wh_main_effect_character_stat_melee_damage_versus_greenskins	fighting_culture_greenskins
armour_mod	wh_main_effect_force_army_battle_armour_all_defending	fighting_force_status_yours_defending
melee_defence_mod	wh_main_effect_force_army_battle_unit_melee_defence_siege_defence	fighting_force_status_theirs_besieging
morale	wh_main_effect_force_army_battle_unit_morale_during_ambushes	fighting_force_status_yours_ambushing
morale	wh_main_effect_force_army_battle_unit_morale_during_forest	fighting_ground_type_forest
morale	wh_main_effect_force_army_battle_unit_morale_land_attack	fighting_force_status_yours_attacking
morale	wh_main_effect_force_army_battle_unit_morale_land_defence	fighting_force_status_yours_defending
morale	wh_main_effect_force_army_battle_unit_morale_siege_attack	fighting_force_status_yours_besieging
morale	wh_main_effect_force_army_battle_unit_morale_siege_defence	fighting_force_status_theirs_besieging
morale	wh_main_effect_force_army_battle_unit_morale_versus_raider_armies	fighting_force_status_theirs_raiding_army
missile_damage_mod_mult	wh_main_effect_force_navy_battle_melee_defence_when_escorting	fighting_force_status_yours_escorting
ship_ram_damage_mod	wh_main_effect_force_navy_battle_ramming_bonus_during_blockade	fighting_force_status_theirs_blockading
melee_attack_mod	wh_main_effect_force_navy_battle_unit_melee_attack_sea_attack	fighting_force_status_yours_attacking_at_sea
morale	wh_main_effect_force_navy_battle_unit_morale_blockade_attack	fighting_force_status_yours_blockading
morale	wh_main_effect_force_navy_battle_unit_morale_blockade_defence	fighting_force_status_yours_attacking_battle_type_break_out
morale	wh_main_effect_force_navy_battle_unit_morale_blockade	fighting_battle_type_blockade
morale	wh_main_effect_force_navy_battle_unit_morale_versus_raider_fleets	fighting_force_status_theirs_raiding_fleet
morale	wh_main_effect_force_navy_battle_unit_morale_when_escorting	fighting_force_status_yours_escorting
xp_gain_rate_mod	wh_main_effect_force_navy_campaign_upkeep_naval_in_foreign_waters	fighting_territory_enemy_or_neutral_navy
melee_attack_mod	wh_main_effect_force_unit_stat_melee_attack_versus_chaos	fighting_culture_chaos
melee_attack_mod	wh_main_effect_force_unit_stat_melee_attack_versus_greenskins	fighting_culture_greenskins
melee_damage_ap_mod_mult	wh_main_effect_force_unit_stat_melee_damage_attacking	fighting_force_status_yours_attacking
melee_damage_mod_mult	wh_main_effect_force_unit_stat_melee_damage_attacking	fighting_force_status_yours_attacking
melee_damage_ap_mod_mult	wh_main_effect_force_unit_stat_melee_damage_versus_greenskins	fighting_culture_greenskins
melee_damage_mod_mult	wh_main_effect_force_unit_stat_melee_damage_versus_greenskins	fighting_culture_greenskins
melee_attack_mod	wh_main_effect_force_unit_stat_melee_during_subterranean	fighting_battle_type_subterranean
morale	wh_main_effect_force_unit_stat_morale_attacking	fighting_force_status_yours_attacking
morale	wh_main_effect_force_unit_stat_morale_defending	fighting_force_status_yours_defending
morale	wh_main_effect_force_unit_stat_morale_during_night	fighting_force_status_yours_night
morale	wh_main_effect_force_unit_stat_morale_during_siege_subterranean	fighting_battle_type_siege_subterranean
morale	wh_main_effect_force_unit_stat_morale_during_subterranean	fighting_battle_type_subterranean
morale	wh_main_effect_force_unit_stat_morale_foreign_territory	fighting_territory_enemy_or_neutral
morale	wh_main_effect_force_unit_stat_morale_own_territory	fighting_territory_own_or_allied
morale	wh_main_effect_force_unit_stat_morale_versus_beastmen	fighting_culture_beastmen
morale	wh_main_effect_force_unit_stat_morale_versus_chaos	fighting_culture_chaos
morale	wh_main_effect_force_unit_stat_morale_versus_dwarfs	fighting_culture_dwarfs
morale	wh_main_effect_force_unit_stat_morale_versus_greenskins	fighting_culture_greenskins
morale	wh_main_effect_force_unit_stat_morale_versus_men	fighting_culture_empire_and_bretonnia
morale	wh_main_effect_force_unit_stat_morale_versus_undead	fighting_culture_undead
morale	wh_main_effect_force_unit_stat_morale_versus_vampire_counts	fighting_culture_vampire_counts
unit_damage_resistance_missile_mod	wh_main_effect_force_ward_save_missile_fighting_wood_elves	fighting_culture_wood_elves
general_aoe_mod	wh_main_effect_general_aura_mod_all_during_ambush	fighting_battle_type_ambush
general_aoe_mod	wh_main_effect_general_aura_mod_all_during_attack_siege	fighting_force_status_yours_besieging
general_aoe_mod	wh_main_effect_general_aura_mod_all_during_attack	fighting_force_status_yours_attacking
general_aoe_mod	wh_main_effect_general_aura_mod_all_during_defence_siege	fighting_force_status_theirs_besieging
general_aoe_mod	wh_main_effect_general_aura_mod_all_during_defence	fighting_force_status_yours_defending
general_aoe_mod	wh_main_effect_general_aura_mod_all_during_night	fighting_battle_type_night
general_aoe_mod	wh_main_effect_general_aura_mod_fighting_chaos	fighting_chaos_factions
melee_defence_mod	wh_main_effect_tech_melee_defence_increase_fighting_norsca	fighting_norscan_factions
xp_gain_rate_mod	wh_main_effect_tech_xp_gain_increase_greenskins	fighting_culture_greenskins
xp_gain_rate_mod	wh_main_effect_tech_xp_gain_increase_norsca	fighting_norscan_factions
ammo_mod	wh_main_effect_unit_stat_ammunition_siege_defence	fighting_force_status_theirs_besieging
damage_vs_large_entities	wh_main_effect_unit_stat_mod_bonus_v_large_fighting_chaos	fighting_culture_chaos
melee_damage_ap_mod_add	wh_pro01_effect_army_battle_ap_damage_defending	fighting_force_status_yours_defending
melee_defence_mod	wh_pro01_effect_force_unit_stat_defence_defending	fighting_force_status_yours_defending
