key	text	tooltip
character_skills_localised_description_wh2_main_skill_def_lilaeth_empowered_shroud_of_despair	At the caster’s command, light is driven from the battlefield and numbing darkness rushes to fill the void.	true
character_skills_localised_name_wh2_main_skill_def_lilaeth_empowered_shroud_of_despair	Empowered Shroud of Despair	true
character_skills_localised_name_wh2_main_skill_magic_death_steal_life_lord	Steal Life	true
character_skills_localised_description_wh2_main_skill_magic_death_steal_life_lord	Sucking the life essence of a foe and use it to heal the caster. Steal Life has no effect on the Undead.	false
character_skills_localised_name_wh2_main_skill_aurelion_of_saphery	Archmage of Saphery	true
character_skills_localised_description_wh2_main_skill_aurelion_of_saphery	Through decades, and often centuries, of painstaking research and scrupulous study, they learn to master magic in its purest form, an art known simply as High Magic.	true
character_skills_localised_name_wh2_main_skill_aurelion_sublime_focus	Sublime Focus	true
character_skills_localised_description_wh2_main_skill_aurelion_sublime_focus	The utmost concentration, the greatest attention to detail, are required if the world is to be saved from the destructive madness of the Ruinous Ones.	true
character_skills_localised_name_wh2_main_skill_aurelion_mount_barded_ithilmar_steed	Barded Ithilmar Steed	true
character_skills_localised_description_wh2_main_skill_aurelion_mount_barded_ithilmar_steed	An extremely light yet resilient material, Ithilmar gives the same protection as heavy steel, but without slowing down its wearer.	true
character_skills_localised_name_wh2_main_skill_aurelion_mount_moon_dragon	Moon Dragon	true
character_skills_localised_description_wh2_main_skill_aurelion_mount_moon_dragon	Those that surpass the Sun Dragons in might and enlightenment are known as Moon Dragons.	true
character_skills_localised_name_wh2_main_skill_hef_passive_protection_of_saphery	Protection of Saphery	true
character_skills_localised_description_wh2_main_skill_hef_passive_protection_of_saphery		true
character_skills_localised_name_wh2_main_skill_hef_passive_empowered_protection_of_saphery	Greater Protection of Saphery	true
character_skills_localised_description_wh2_main_skill_hef_passive_empowered_protection_of_saphery		true
character_skills_localised_name_wh2_main_skill_magic_heaven_lightning_storm	Lightning Storm	true
character_skills_localised_description_wh2_main_skill_magic_heaven_lightning_storm		true
character_skills_localised_name_wh2_main_skill_innate_hef_aurelion	Ulthuan Guardians	true
character_skills_localised_description_wh2_main_skill_innate_hef_aurelion	When war comes to Ulthuan, none more eagerly than the Swordsmasters of Hoeth are to defend the isles , for only in war can they truly unleash the full extent of their deadly art.	true
character_skills_localised_name_wh2_main_skill_aurelion_unique_1_1	Relative of the King	true
character_skills_localised_description_wh2_main_skill_aurelion_unique_1_1	Not only a mage but also a Princess, and a relative of the Phoenix King Finubar.	true
character_skills_localised_name_wh2_main_skill_aurelion_unique_1_2	Sublime Focus	true
character_skills_localised_description_wh2_main_skill_aurelion_unique_1_2	The utmost concentration, the greatest attention to detail, are required if the world is to be saved from the destructive madness of the Ruinous Ones.	true
character_skills_localised_name_wh2_main_skill_aurelion_unique_1_3	Elven Vitality	true
character_skills_localised_description_wh2_main_skill_aurelion_unique_1_3	Can be thousands of years old but still have the vitality of those only a few hunder years old.	true
character_skills_localised_name_wh2_main_skill_aurelion_unique_1_4	Potion of Charoi	true
character_skills_localised_description_wh2_main_skill_aurelion_unique_1_4		true
character_skills_localised_name_wh2_main_skill_aurelion_unique_2_2	Masters of the Sword	true
character_skills_localised_description_wh2_main_skill_aurelion_unique_2_2	The Swordmasters' greatswords are forged beneath the Tower of Hoeth, by smiths whose secrets are the envy of even the priests of Vaul.	true
character_skills_localised_name_wh2_main_skill_aurelion_unique_2_3	Holding Back the Tide	true
character_skills_localised_description_wh2_main_skill_aurelion_unique_2_3	All Asur know that Ulthuan need to be defend from all that threaten it.	true
character_skills_localised_name_wh2_main_skill_aurelion_unique_2_4	Shield of Hoeth	true
character_skills_localised_description_wh2_main_skill_aurelion_unique_2_4		true
character_skills_localised_name_wh2_main_skill_hef_aurelion_talisman_amulet_of_the_stars	Amulet of the Stars	true
character_skills_localised_description_wh2_main_skill_hef_aurelion_talisman_amulet_of_the_stars	Passed down from one mage to the next, which has always brought the wearer  luck.	true
character_skills_localised_name_wh2_main_skill_hef_aurelion_weapon_iceshard_staff	Iceshard Staff	true
character_skills_localised_description_wh2_main_skill_hef_aurelion_weapon_iceshard_staff		true
character_skills_localised_name_wh2_main_skill_innate_hef_lirazel	Chief Handmaiden	true
character_skills_localised_description_wh2_main_skill_innate_hef_lirazel	As Chief Handmaiden it her sworn duty to protect the everqueen and lead her handmaidens into battle.	false
character_skills_localised_name_wh2_main_skill_weapon_hef_lirazel_star_bow_of_avelorn	Star Bow of Avelorn	true
character_skills_localised_description_wh2_main_skill_weapon_hef_lirazel_star_bow_of_avelorn	A powerful enchanted bow only given to the everqueens chief handmaiden to command it power.	false
character_skills_localised_name_wh2_main_skill_hef_lirazel_lieutenant_0	Chief Handmaiden of the Everqueen	true
character_skills_localised_description_wh2_main_skill_hef_lirazel_lieutenant_0	Chief Handmaiden is the trusted of all the Handmaidens and is tasked with leading the Handmaidens in the protection of the Everqueen if called upon to do so will die for her.	false
character_skills_localised_name_wh2_main_skill_hef_lirazel_unique_1	Warrior Maidens	true
character_skills_localised_description_wh2_main_skill_hef_lirazel_unique_1	As Chief Handmaiden it her duty to ensure the very best of warriors which can mean life or death of their beloved Everqueen.	false
character_skills_localised_name_wh2_main_skill_innate_wef_draya	Wildwoods	true
character_skills_localised_description_wh2_main_skill_innate_wef_draya	Wildwood are a prison for the most malevolent of forest spirits which the Wildwood Rangers guard.	true
character_skills_localised_name_wh2_main_skill_wef_lord_unique_draya_spear_of_cythral	Spear of Cythral	true
character_skills_localised_description_wh2_main_skill_wef_lord_unique_draya_spear_of_cythral	A gift from Daith for the Lord of Cythral.	true
character_skills_localised_name_wh2_main_skill_wef_lord_unique_draya_nighthawk_armour	Nighthawk Armour	true
character_skills_localised_description_wh2_main_skill_wef_lord_unique_draya_nighthawk_armour	Armour Crafted from materials in the wildwoods of Cythral it said to hide users from anyone sight.	true
character_skills_localised_name_wh2_main_skill_wef_draya_unique_0	Expert Monster Hunters	true
character_skills_localised_description_wh2_main_skill_wef_draya_unique_0	Years fighting monsters teach you how the bes way to kill them.	true
character_skills_localised_name_wh2_main_skill_wef_draya_unique_1	Master Ambusher	true
character_skills_localised_description_wh2_main_skill_wef_draya_unique_1	Those in the Wildwoods of Cythral learns the Art of ambushes better then any other part of Athel Loren. 	true
character_skills_localised_name_wh2_main_skill_wef_draya_unique_2	Forest Stalkers	true
character_skills_localised_description_wh2_main_skill_wef_draya_unique_2	The eyes of those that stalk the paths in Cythrals ready to cut down any that don't belong.	true
character_skills_localised_description_wh2_main_skill_wef_generic_swiftness_of_asrai	The Asrai move through the forests with great agility to dodge unlike their elven kin.	true
character_skills_localised_name_wh2_main_skill_wef_generic_swiftness_of_asrai	Swiftness of Asrai	true
