key	hit_points	model	battle_entity	gun_type	docking_clearance	engine	image_path	recruitment_cap	uses_8m_wall	uses_15m_wall	cost	category_image_path	special_edition_mask	ignition_threshold	attack_damage	selection_priority	sort_order	autoresolver_effectiveness	audio_type
lzd_siege_tower_15m	10800	lzd_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	4	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	7	0.7500	wh2_siege_tower_lizardmen
nor_battering_ram	20000	nor_batteringram	nor_battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	4	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	2750.0000	1.0000	1	0.7500	
nor_siege_tower_15m	10800	nor_siege_tower_15m	siege_tower		4.1250		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	4	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	7	0.7500	
skv_battering_ram	20000	skv_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	4	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	2750.0000	1.0000	3	0.3750	
skv_siege_tower_15m	10800	skv_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	4	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	10	0.7500	wh2_siege_tower_skaven
tmb_battering_ram	20000	tmb_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	4	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	2750.0000	1.0000	3	0.3750	
tmb_siege_tower_15m	10800	tmb_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	4	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	10	0.7500	wh_war_machine_wood_large
vmp_battering_ram	20000	vmp_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	4	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	2750.0000	1.0000	5	0.3750	wh_war_machine_vampire_large
vmp_siege_tower_15m	10800	vmp_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	4	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	12	0.7500	wh_war_machine_vampire_large
wef_battering_ram	20000	wef_batteringram	battering_ram		2.0000		UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	4	true	true	0	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	2750.0000	1.0000	0	0.3750	wh_war_machine_wef_large
wef_siege_tower_15m	10800	wef_siege_tower_15m	siege_tower		3.2000		UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	4	false	true	0	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0.0000	2.0000	6	0.7500	wh_war_machine_wef_large
